Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14710,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03
2738,DJ Hero 2,PS3,2010.0,Misc,Activision,0.47,0.19,0.0,0.09,0.75
13538,Gem Smashers,3DS,2011.0,Platform,Crave Entertainment,0.04,0.0,0.0,0.0,0.04
13800,Metal Slug XX,PSP,2009.0,Shooter,DHM Interactive,0.03,0.0,0.0,0.0,0.04
8062,X-Men Origins: Wolverine,PS2,2009.0,Action,Activision,0.13,0.0,0.0,0.05,0.18
10880,World Cup '98 France: Road to Win,SAT,1998.0,Sports,Sega,0.0,0.0,0.09,0.0,0.09
861,Sonic Classic Collection,DS,2010.0,Platform,Sega,0.99,0.8,0.0,0.18,1.97
695,Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.75,0.15,0.31,2.29
500,Hot Shots Golf 3,PS2,2001.0,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89
10666,Harvest Moon DS Cute (jp sales),DS,2005.0,Simulation,Marvelous Interactive,0.0,0.0,0.1,0.0,0.1
4246,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
12104,Sudoku Fever,GBA,2006.0,Puzzle,Take-Two Interactive,0.05,0.02,0.0,0.0,0.07
5403,Football Manager Handheld 2008,PSP,2007.0,Sports,Sega,0.0,0.34,0.0,0.0,0.34
12709,Mayhem 3D,PS3,2011.0,Racing,Evolved Games,0.05,0.0,0.0,0.01,0.06
14661,Kamigami no Asobi,PSP,2013.0,Adventure,Broccoli,0.0,0.0,0.03,0.0,0.03
15343,Toki no Kizuna: Hanayui Tsuzuri,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
11759,Medabots 8,3DS,2014.0,Role-Playing,Rocket Company,0.0,0.0,0.07,0.0,0.07
15853,Winning Post 7: Maximum 2007,PS3,2007.0,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
12733,Viewtiful Joe: Red Hot Rumble,GC,2005.0,Action,Capcom,0.04,0.01,0.0,0.0,0.06
10165,Space Chimps,X360,2008.0,Platform,Brash Entertainment,0.1,0.0,0.0,0.01,0.11
8260,NCAA Football 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.16,0.0,0.0,0.01,0.17
11763,Again,DS,2009.0,Adventure,Ackkstudios,0.07,0.0,0.0,0.0,0.07
9063,Cave Story 3D,3DS,2011.0,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14
9466,Mega Man Anniversary Collection,XB,2005.0,Platform,Capcom,0.1,0.03,0.0,0.0,0.13
701,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.28,0.0,2.28
2190,Evolve,PS4,2015.0,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
1868,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
6376,NASCAR Thunder 2003,XB,2002.0,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27
11704,Metal Gear Solid V: The Phantom Pain,PC,2015.0,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08
410,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
6064,Lightning Returns: Final Fantasy XIII,X360,2013.0,Role-Playing,Square Enix,0.15,0.1,0.01,0.02,0.29
14690,Samurai Warriors 2,PS3,2013.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
7621,Disney's Tarzan,N64,2000.0,Platform,Activision,0.16,0.04,0.0,0.0,0.2
6606,Doukyuusei if,SAT,1996.0,Role-Playing,NEC,0.0,0.0,0.26,0.0,0.26
9593,LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13
9217,Super Puzzle Fighter II Turbo,PS,1996.0,Puzzle,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
12100,Mega Man X4,SAT,1997.0,Action,Capcom,0.0,0.0,0.07,0.0,0.07
10157,Contra Advance: The Alien Wars EX,GBA,2002.0,Shooter,Konami Digital Entertainment,0.08,0.03,0.0,0.0,0.11
5872,Disgaea 3: Absence of Detention,PSV,,Role-Playing,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3
9187,Frank Thomas Big Hurt Baseball,PS,1996.0,Sports,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
4864,Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.4
9945,Yogi Bear: The Video Game,Wii,2010.0,Action,D3Publisher,0.06,0.05,0.0,0.01,0.12
8025,NARC,XB,2005.0,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18
16375,"Crouching Tiger, Hidden Dragon",XB,2003.0,Action,Ubisoft,0.01,0.0,0.0,0.0,0.01
1799,Royal Palace of White Sword and The City of Gentiles,PS2,2005.0,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,0.62,1.14
12850,Countdown: The Game,Wii,2009.0,Puzzle,Mindscape,0.0,0.05,0.0,0.0,0.05
5552,EA Playground,DS,2007.0,Sports,Electronic Arts,0.29,0.01,0.0,0.03,0.33
10528,FIFA Street,XB,2005.0,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1
13912,LEGO Jurassic World,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.0,0.04
6864,The Godfather (US & Others sales),X360,2006.0,Action,Electronic Arts,0.2,0.02,0.0,0.02,0.24
9387,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008.0,Role-Playing,Atlus,0.07,0.05,0.0,0.02,0.13
2979,NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68
7339,Speed Racer: The Videogame,PS2,2008.0,Racing,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.03,0.21
4190,Quest 64,N64,1998.0,Role-Playing,Konami Digital Entertainment,0.38,0.08,0.0,0.01,0.47
3396,Final Fantasy: The 4 Heroes of Light,DS,2009.0,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.59
7983,La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19
15386,Samurai & Dragons,PSV,2012.0,Action,Sega,0.0,0.0,0.02,0.0,0.02
4694,Wheel of Fortune: 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,0.23,0.16,0.0,0.03,0.41
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
10853,Monopoly Collection,Wii,2011.0,Misc,Electronic Arts,0.02,0.07,0.0,0.01,0.09
2379,NBA 2K14,XOne,2013.0,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87
4874,Rise of the Tomb Raider,X360,2015.0,Adventure,Square Enix,0.17,0.19,0.0,0.03,0.4
9587,Surf Riders,PS,1999.0,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13
3312,Pac-Man Party,Wii,2010.0,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
11478,Knife Edge: NoseGunner,N64,1998.0,Shooter,Mitsui,0.06,0.02,0.0,0.0,0.08
2937,MotionSports,X360,2010.0,Sports,Ubisoft,0.38,0.26,0.0,0.06,0.7
3886,Prince of Persia Trilogy,PS3,2010.0,Action,Ubisoft,0.17,0.25,0.0,0.09,0.51
503,Syphon Filter,PS,1999.0,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
6461,Danganronpa 2: Goodbye Despair,PSV,2014.0,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26
14597,Metal Dungeon,XB,2002.0,Role-Playing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03
9851,Famicom Mini: TwinBee,GBA,2004.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
10392,Space Invaders,GBA,2002.0,Shooter,Activision,0.08,0.03,0.0,0.0,0.11
6771,Disney's Planes,DS,2013.0,Simulation,Disney Interactive Studios,0.13,0.1,0.0,0.02,0.25
8688,NBA 2K3,GC,2002.0,Sports,Sega,0.12,0.03,0.0,0.0,0.16
11476,The Space Bar,SAT,1996.0,Adventure,Sega,0.0,0.0,0.08,0.0,0.08
5005,Tamagotchi Connection: Corner Shop 3,DS,2007.0,Simulation,Atari,0.07,0.0,0.31,0.01,0.38
862,Spyro: Enter the Dragonfly,PS2,2002.0,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97
4085,Dead Space Extraction,Wii,2009.0,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.48
12291,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993.0,Misc,Imax,0.0,0.0,0.06,0.0,0.06
1074,Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,LucasArts,0.9,0.47,0.0,0.32,1.68
8923,Prince of Persia: The Two Thrones,GC,2005.0,Action,Ubisoft,0.11,0.03,0.0,0.0,0.15
10726,Star Trek: Shattered Universe,PS2,2004.0,Simulation,Global Star,0.05,0.04,0.0,0.01,0.1
7438,Just Dance: Greatest Hits,Wii,2012.0,Misc,Ubisoft,0.15,0.04,0.0,0.02,0.21
2512,DJ Hero 2,X360,2010.0,Misc,Activision,0.64,0.12,0.0,0.06,0.82
1483,Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33
3251,Tiger Woods PGA Tour 2004,XB,2003.0,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62
4664,Lord of the Rings: The Third Age,XB,2004.0,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42
16416,The Godfather (JP sales),X360,2006.0,Action,Electronic Arts,0.0,0.0,0.01,0.0,0.01
14062,Petz: Catz Playground,DS,2010.0,Simulation,Ubisoft,0.03,0.0,0.0,0.0,0.04
12627,Steins;Gate: Hiyoku Renri no Darling,PSP,2012.0,Action,5pb,0.0,0.0,0.06,0.0,0.06
10182,Totally Spies! Totally Party,Wii,2008.0,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.11
377,Clubhouse Games,DS,2006.0,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
933,Phineas and Ferb,DS,2009.0,Action,Disney Interactive Studios,1.34,0.37,0.0,0.15,1.86
5888,Quake II,N64,1999.0,Shooter,Activision,0.24,0.06,0.0,0.0,0.3
15365,F1 2002,GBA,2002.0,Racing,"Destination Software, Inc",0.01,0.01,0.0,0.0,0.02
1073,Call of Duty Black Ops: Declassified,PSV,2012.0,Action,Activision,0.8,0.52,0.07,0.3,1.69
3313,Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61
4090,Madagascar: Operation Penguin,GBA,2005.0,Action,Activision,0.35,0.13,0.0,0.01,0.48
10109,Invizimals: The Lost Tribes,PSP,2011.0,Action,Sony Computer Entertainment,0.0,0.08,0.0,0.04,0.11
8222,MotoGP 10/11,PS3,2011.0,Racing,Capcom,0.04,0.1,0.0,0.04,0.17
16492,Micro Machines V4,PS2,2006.0,Racing,Codemasters,0.01,0.0,0.0,0.0,0.01
5203,Big Bass World Championship,PS,1997.0,Sports,Starfish,0.2,0.14,0.0,0.02,0.36
15726,Digimon Rumble Arena,PS,2001.0,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
8405,Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.02,0.17
13711,Men of War: Vietnam,PC,2011.0,Strategy,Unknown,0.0,0.03,0.0,0.01,0.04
15030,Kensei: Sacred Fist,PS,1997.0,Fighting,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
8076,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014.0,Role-Playing,Atlus,0.07,0.03,0.05,0.03,0.18
5348,Charlie and the Chocolate Factory,PS2,2005.0,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35
8673,Angry Birds Star Wars,XOne,2013.0,Strategy,Activision,0.11,0.04,0.0,0.01,0.16
12389,Strike Force Bowling,GC,2005.0,Sports,Crave Entertainment,0.05,0.01,0.0,0.0,0.06
631,Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
738,Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
7819,Spider-Man: Shattered Dimensions,DS,2010.0,Action,Activision,0.17,0.01,0.0,0.01,0.19
12328,Legend of Kay,PS4,2015.0,Action,Nordic Games,0.02,0.03,0.0,0.01,0.06
15093,Bejeweled 2 Deluxe,PC,2006.0,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
5594,Shin Megami Tensei: Devil Survivor 2,DS,2011.0,Role-Playing,Ghostlight,0.17,0.01,0.12,0.01,0.32
8450,Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,0.07,0.0,0.08,0.02,0.17
13023,Microsoft Flight Simulator X Acceleration Expansion Pack,PC,2007.0,Simulation,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05
12496,Neon Genesis Evangelion,N64,1999.0,Adventure,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
15638,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008.0,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
2013,WipEout Pure,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04
686,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
3238,Nobunaga no Yabou: Haouden,SNES,1993.0,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
4687,pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41
339,Friend Collection,DS,2009.0,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
455,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,3.07
8950,Arena Football,XB,2006.0,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15
4377,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45
3655,TMNT,X360,2007.0,Action,Ubisoft,0.47,0.04,0.0,0.04,0.55
4381,Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45
7653,BioShock The Collection,PS4,2016.0,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
2230,Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93
14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994.0,Action,Banpresto,0.0,0.0,0.03,0.0,0.03
13498,Nobunaga's Ambition (3DS),3DS,2013.0,Simulation,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
1026,Destiny,PS3,2014.0,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
10202,Naval Ops: Warship Gunner,PS2,2003.0,Simulation,Tecmo Koei,0.05,0.04,0.0,0.01,0.11
12866,Learn Science,DS,2010.0,Misc,DreamCatcher Interactive,0.05,0.0,0.0,0.0,0.05
1955,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06
4503,SSX Tricky,XB,2001.0,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43
672,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36
2446,Overwatch,XOne,2016.0,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
6495,Lumines: Electronic Symphony,PSV,2012.0,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
13127,Dead in the Water,PS,1999.0,Action,ASC Games,0.03,0.02,0.0,0.0,0.05
11585,Sub Rebellion,PS2,2002.0,Simulation,Metro 3D,0.04,0.03,0.0,0.01,0.08
1686,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
16314,Space Hulk,PSV,2015.0,Strategy,Funbox Media,0.0,0.01,0.0,0.0,0.01
6321,LEGO Harry Potter: Years 5-7,PSP,,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0.0,0.06,0.27
3072,Rocksmith 2014,PC,2013.0,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66
3004,.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016.0,Action,Sony Computer Entertainment,0.0,0.16,0.0,0.03,0.19
7231,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22
14234,EverBlue 2,PS2,2002.0,Adventure,Capcom,0.02,0.01,0.0,0.0,0.03
11281,Marvel Nemesis: Rise of the Imperfects,DS,2005.0,Fighting,Electronic Arts,0.08,0.0,0.0,0.01,0.08
15439,Painkiller: Hell & Damnation,X360,2013.0,Shooter,Nordic Games,0.0,0.01,0.0,0.0,0.02
3083,New Play Control! Pikmin,Wii,2008.0,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
6326,Over the Hedge,GBA,2006.0,Platform,Activision,0.19,0.07,0.0,0.0,0.27
4196,Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47
9326,Legends of Wrestling,XB,2002.0,Fighting,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.14
9992,F1 2002,PS2,2002.0,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12
10096,GoldenEye: Rogue Agent,DS,2005.0,Shooter,Electronic Arts,0.1,0.0,0.0,0.01,0.11
6908,Dora the Explorer: Super Star Adventures,GBA,2004.0,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.24
11522,MXGP 2,PS4,2016.0,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.08
4263,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
16185,Princess Arthur,PSP,2013.0,Misc,Idea Factory,0.0,0.0,0.01,0.0,0.01
14963,LEGO Harry Potter: Years 1-4,PC,2010.0,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.0,0.0,0.02
8165,College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18
15356,Demolition Company: Gold Edition,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02
12013,Ghost in the Shell: Stand Alone Complex,PSP,2005.0,Adventure,Atari,0.06,0.0,0.0,0.01,0.07
7063,Puss in Boots,X360,2011.0,Action,THQ,0.2,0.02,0.0,0.02,0.23
10332,Kirarin * Revolution: Kira Kira Idol Audition,DS,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
6086,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006.0,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29
15860,Kadenz fermata//Akkord:fortissimo,PSV,2014.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14297,Custom Beat Battle: Draglade 2,DS,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7
7669,Gladius,PS2,2003.0,Strategy,Activision,0.1,0.08,0.0,0.03,0.2
1127,Pikmin,GC,2001.0,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
10013,Karaoke Revolution Presents American Idol Encore 2,PS3,2008.0,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.11
16368,Survivor,Wii,2010.0,Adventure,Valcon Games,0.01,0.0,0.0,0.0,0.01
5082,Quake 4,X360,2005.0,Shooter,Activision,0.32,0.03,0.0,0.03,0.38
493,Super Mario World 2: Yoshi's Island,GBA,2002.0,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
6820,Spider-Man: Shattered Dimensions,Wii,2010.0,Action,Activision,0.13,0.09,0.0,0.02,0.24
